hour_index,datetime, global_horizontal_irradiance , direct_normal_irradiance , diffuse_horizontal_irradiance , dry_bulb_temperature , windspeed , albedo , solar_altitude_angle , solar_azimuth_angle , solar_incident_angle , horizon_elevation_angle , tracker_roll_angle , adjusted_ghi , poa_direct_irradiance , poa_diffuse_irradiance , poa_reflected_irradiance , shaded_direct_irradiance , shaded_diffuse_irradiance , shaded_reflected_irradiance , effective_direct_irradiance , effective_diffuse_irradiance , effective_reflected_irradiance , soiled_irradiance , total_irradiance , nameplate_power , avg_cell_temp , module_irradiance_derated_power , module_mpp_power , module_power , optimizer_input_power , optimizer_output_power , optimal_dc_power , optimal_dc_voltage , inverter_overpower_loss , inverter_underpower_loss , inverter_overvoltage_loss , inverter_undervoltage_loss , actual_dc_power , actual_dc_voltage ,ac_power ,pv_kw 
3490,5/26/2025 9:00,477.48,,322.67,13.02,3.02,0.2,45.68,129.6,44.75, -   ,,477.48,152.46,320.16,0.73,152.46,320.16,0.06,149.27,305.73,0.02,445.92,445.91,"374,317.84",24.47,"373,546.50","374,127.10","361,202.56", -   , -   ,"359,933.25",464.12, -   , -   , -   , -   ,"359,933.25",464.12,"350,342.88",348.591
3491,5/26/2025 10:00,527.32,,353.97,13.85,3.71,0.2,50.96,149.15,39.89, -   ,,527.32,170.72,351.29,0.8,170.72,351.29,0.07,168.09,335.45,0.02,493.5,493.5,"414,261.03",25.96,"414,161.80","412,685.06","399,984.22", -   , -   ,"398,421.97",461.48, -   , -   , -   , -   ,"398,421.97",461.48,"387,589.30",385.651
3492,5/26/2025 11:00,577.22,,319.32,14.61,4.36,0.2,53.7,171.69,37.47, -   ,,577.22,253.98,318.88,0.88,253.98,318.88,0.08,250.68,304.5,0.02,544.1,544.1,"456,727.20",27.4,"457,289.78","453,362.16","438,563.03", -   , -   ,"436,674.94",459.5, -   , -   , -   , -   ,"436,674.94",459.5,"424,569.62",422.447
3493,5/26/2025 12:00,584.15,,355.05,15.21,4.87,0.2,53.21,195.26,37.83, -   ,,584.15,225.62,354.21,0.89,225.62,354.21,0.08,222.6,338.24,0.02,549.64,549.65,"461,384.20",27.71,"462,010.00","457,517.56","441,994.70", -   , -   ,"440,081.40",459.61, -   , -   , -   , -   ,"440,081.40",459.61,"427,864.72",425.725
3494,5/26/2025 13:00,505.78,,324.98,15.55,5.57,0.2,49.64,217.03,40.97, -   ,,505.78,178.05,324.33,0.77,178.05,324.33,0.07,175.09,309.7,0.02,475.12,475.13,"398,827.30",25.87,"398,469.38","397,147.10","384,071.10", -   , -   ,"382,629.60",461.55, -   , -   , -   , -   ,"382,629.60",461.55,"372,294.00",370.433
3495,5/26/2025 14:00,442.08,,299.97,15.69,5.24,0.2,43.78,235.62,46.45, -   ,,442.08,139.96,297.67,0.67,139.96,297.67,0.06,136.69,284.25,0.02,412.53,412.58,"346,321.97",24.85,"345,065.10","345,134.00","334,012.62", -   , -   ,"332,923.00",462.33, -   , -   , -   , -   ,"332,923.00",462.33,"324,106.40",322.486
3496,5/26/2025 15:00,367.17,,283.98,15.64,6.03,0.2,36.55,251.32,53.5, -   ,,367.17,81.92,281.57,0.56,81.92,281.57,0.05,79.03,268.88,0.02,340.96,340.94,"286,190.16",22.83,"283,880.90","285,979.16","276,527.62", -   , -   ,"275,785.80",465.09, -   , -   , -   , -   ,"275,785.80",465.09,"268,642.84",267.3
3497,5/26/2025 16:00,270.3,,169.35,15.34,6.51,0.2,28.64,265.03,61.36, -   ,,270.3,99.42,169.26,0.41,99.42,169.26,0.04,93.86,161.63,0.01,250.38,250.38,"210,163.95",20.46,"206,623.56","209,860.81","202,821.28", -   , -   ,"202,413.48",465.95, -   , -   , -   , -   ,"202,413.48",465.95,"197,247.06",196.261
3498,5/26/2025 17:00,188.23,,140.1,14.83,5.8,0.2,20.56,277.59,69.45, -   ,,188.23,47.4,138.92,0.29,47.4,138.92,0.02,42.92,132.66,0.01,172.07,172.14,"144,487.97",18.52,"140,107.12","143,359.64","138,563.72", -   , -   ,"138,371.40",465.01, -   , -   , -   , -   ,"138,371.40",465.01,"134,588.56",133.916
3499,5/26/2025 18:00,98.6,,73.6,14.15,4.88,0.2,12.71,289.67,77.33, -   ,,98.6,24.62,73.01,0.15,24.62,73.01,0.01,20.17,69.72,0,88.09,88.09,"73,941.11",16.15,"69,377.31","71,647.99","69,251.38", -   , -   ,"69,200.06",459.25, -   , -   , -   , -   ,"69,200.06",459.25,"66,640.70",66.308
