datetime,temperature_degC,base_load_kW,hvac_heating_kW,hvac_cooling_kW,equipment_kW,shore_power_kW,load_kw,ghi_W_m2,total_load_kWh
6/24/2025 3:00,10.3,333.7656393,51.36,0,144,0,529.1256393,0,529.1256393
6/24/2025 4:00,10.2,333.7656393,51.84,0,144,0,529.6056393,53,529.6056393
6/24/2025 5:00,12.5,333.7656393,40.8,0,144,0,518.5656393,127,518.5656393
6/24/2025 6:00,14.8,511.7739803,49.6,0,334,0,895.3739803,220,895.3739803
6/24/2025 7:00,16.2,511.7739803,38.4,0,334,0,884.1739803,333,884.1739803
6/24/2025 8:00,17.4,511.7739803,28.8,0,334,0,874.5739803,453,874.5739803
6/24/2025 9:00,14.1,511.7739803,55.2,0,334,0,900.9739803,581,900.9739803
6/24/2025 10:00,17.2,511.7739803,30.4,0,334,0,876.1739803,695,876.1739803
6/24/2025 11:00,16.7,511.7739803,34.4,0,334,0,880.1739803,742,880.1739803
6/24/2025 12:00,15.8,511.7739803,41.6,0,334,0,887.3739803,698,887.3739803
6/24/2025 13:00,18.2,511.7739803,22.4,0,334,0,868.1739803,589,868.1739803
6/24/2025 14:00,17.8,511.7739803,25.6,0,334,0,871.3739803,513,871.3739803
6/24/2025 15:00,18.7,511.7739803,18.4,0,334,0,864.1739803,471,864.1739803
6/24/2025 16:00,17.1,511.7739803,31.2,0,334,0,876.9739803,385,876.9739803
6/24/2025 17:00,16.6,511.7739803,35.2,0,334,0,880.9739803,280,880.9739803
6/24/2025 18:00,15.6,511.7739803,43.2,0,334,0,888.9739803,191,888.9739803
6/24/2025 19:00,14.9,511.7739803,48.8,0,334,0,894.5739803,111,894.5739803
6/24/2025 20:00,14.1,511.7739803,55.2,0,334,0,900.9739803,41,900.9739803
6/24/2025 21:00,13,511.7739803,64,0,334,0,909.7739803,5,909.7739803
6/24/2025 22:00,12.6,333.7656393,40.32,0,144,0,518.0856393,0,518.0856393
6/24/2025 23:00,12.4,333.7656393,41.28,0,144,0,519.0456393,0,519.0456393
6/25/2025 0:00,12.2,333.7656393,42.24,0,144,0,520.0056393,0,520.0056393
6/25/2025 1:00,11.4,333.7656393,46.08,0,144,0,523.8456393,0,523.8456393
6/25/2025 2:00,10.4,333.7656393,50.88,0,144,0,528.6456393,0,528.6456393
6/25/2025 3:00,9.9,333.7656393,53.28,0,144,0,531.0456393,0,531.0456393
6/25/2025 4:00,10.5,333.7656393,50.4,0,144,0,528.1656393,44,528.1656393
6/25/2025 5:00,11.5,333.7656393,45.6,0,144,0,523.3656393,115,523.3656393
6/25/2025 6:00,12.2,511.7739803,70.4,0,334,0,916.1739803,209,916.1739803
6/25/2025 7:00,13.8,511.7739803,57.6,0,334,0,903.3739803,278,903.3739803
6/25/2025 8:00,14.1,511.7739803,55.2,0,334,0,900.9739803,303,900.9739803
6/25/2025 9:00,12.9,511.7739803,64.8,0,334,0,910.5739803,353,910.5739803
6/25/2025 10:00,15,511.7739803,48,0,334,0,893.7739803,443,893.7739803
6/25/2025 11:00,17.5,511.7739803,28,0,334,0,873.7739803,455,873.7739803
6/25/2025 12:00,14.4,511.7739803,52.8,0,334,0,898.5739803,407,898.5739803
6/25/2025 13:00,16.5,511.7739803,36,0,334,0,881.7739803,408,881.7739803
6/25/2025 14:00,17.2,511.7739803,30.4,0,334,0,876.1739803,437,876.1739803
6/25/2025 15:00,16.7,511.7739803,34.4,0,334,0,880.1739803,440,880.1739803
6/25/2025 16:00,18,511.7739803,24,0,334,0,869.7739803,352,869.7739803
6/25/2025 17:00,17.7,511.7739803,26.4,0,334,0,872.1739803,223,872.1739803
6/25/2025 18:00,13.4,511.7739803,60.8,0,334,0,906.5739803,153,906.5739803
6/25/2025 19:00,15,511.7739803,48,0,334,0,893.7739803,97,893.7739803
6/25/2025 20:00,14.4,511.7739803,52.8,0,334,0,898.5739803,35,898.5739803
6/25/2025 21:00,13.8,511.7739803,57.6,0,334,0,903.3739803,6,903.3739803
6/25/2025 22:00,13.2,333.7656393,37.44,0,144,0,515.2056393,0,515.2056393
6/25/2025 23:00,12.8,333.7656393,39.36,0,144,0,517.1256393,0,517.1256393
6/26/2025 0:00,12.1,333.7656393,42.72,0,144,0,520.4856393,0,520.4856393
6/26/2025 1:00,11.7,333.7656393,44.64,0,144,0,522.4056393,0,522.4056393
6/26/2025 2:00,10.8,333.7656393,48.96,0,144,0,526.7256393,0,526.7256393
6/26/2025 3:00,10.9,333.7656393,48.48,0,144,0,526.2456393,0,526.2456393
6/26/2025 4:00,11.2,333.7656393,47.04,0,144,0,524.8056393,53,524.8056393
6/26/2025 5:00,13.1,333.7656393,37.92,0,144,0,515.6856393,133,515.6856393
6/26/2025 6:00,14.2,511.7739803,54.4,0,334,0,900.1739803,244,900.1739803
6/26/2025 7:00,15.5,511.7739803,44,0,334,0,889.7739803,389,889.7739803
6/26/2025 8:00,17.4,511.7739803,28.8,0,334,0,874.5739803,528,874.5739803
6/26/2025 9:00,19,511.7739803,16,0,334,0,861.7739803,619,861.7739803
6/26/2025 10:00,19.1,511.7739803,15.2,0,334,0,860.9739803,664,860.9739803
6/26/2025 11:00,19.7,511.7739803,10.4,0,334,0,856.1739803,692,856.1739803
6/26/2025 12:00,21.9,511.7739803,0,0,334,0,845.7739803,647,845.7739803
6/26/2025 13:00,20.4,511.7739803,4.8,0,334,0,850.5739803,522,850.5739803
6/26/2025 14:00,20.3,511.7739803,5.6,0,334,0,851.3739803,419,851.3739803
6/26/2025 15:00,20.8,511.7739803,1.6,0,334,0,847.3739803,358,847.3739803
6/26/2025 16:00,18.4,511.7739803,20.8,0,334,0,866.5739803,333,866.5739803
6/26/2025 17:00,18.2,511.7739803,22.4,0,334,0,868.1739803,289,868.1739803
6/26/2025 18:00,17.9,511.7739803,24.8,0,334,0,870.5739803,197,870.5739803
6/26/2025 19:00,16.1,511.7739803,39.2,0,334,0,884.9739803,108,884.9739803
6/26/2025 20:00,15.1,511.7739803,47.2,0,334,0,892.9739803,40,892.9739803
6/26/2025 21:00,12.6,511.7739803,67.2,0,334,0,912.9739803,7,912.9739803
6/26/2025 22:00,11.2,333.7656393,47.04,0,144,0,524.8056393,0,524.8056393
6/26/2025 23:00,10.3,333.7656393,51.36,0,144,0,529.1256393,0,529.1256393
6/27/2025 0:00,9.6,333.7656393,54.72,0,144,0,532.4856393,0,532.4856393
6/27/2025 1:00,8.8,333.7656393,58.56,0,144,0,536.3256393,0,536.3256393
6/27/2025 2:00,10.3,333.7656393,51.36,0,144,0,529.1256393,0,529.1256393
6/27/2025 3:00,11.1,333.7656393,47.52,0,144,0,525.2856393,0,525.2856393
6/27/2025 4:00,10.7,333.7656393,49.44,0,144,0,527.2056393,57,527.2056393
6/27/2025 5:00,13.1,333.7656393,37.92,0,144,0,515.6856393,151,515.6856393
6/27/2025 6:00,15.5,511.7739803,44,0,334,0,889.7739803,274,889.7739803
6/27/2025 7:00,18.4,511.7739803,20.8,0,334,0,866.5739803,405,866.5739803
6/27/2025 8:00,19.8,511.7739803,9.6,0,334,0,855.3739803,534,855.3739803
6/27/2025 9:00,21,511.7739803,0,0,334,0,845.7739803,651,845.7739803
6/27/2025 10:00,21.7,511.7739803,0,0,334,0,845.7739803,740,845.7739803
6/27/2025 11:00,23.3,511.7739803,0,0,334,0,845.7739803,793,845.7739803
6/27/2025 12:00,22.5,511.7739803,0,0,334,0,845.7739803,791,845.7739803
6/27/2025 13:00,22.7,511.7739803,0,0,334,0,845.7739803,738,845.7739803
6/27/2025 14:00,24.1,511.7739803,0,0.5,334,0,846.2739803,690,846.2739803
6/27/2025 15:00,22.7,511.7739803,0,0,334,0,845.7739803,625,845.7739803
6/27/2025 16:00,23,511.7739803,0,0,334,0,845.7739803,517,845.7739803
6/27/2025 17:00,22.4,511.7739803,0,0,334,0,845.7739803,389,845.7739803
6/27/2025 18:00,21.6,511.7739803,0,0,334,0,845.7739803,253,845.7739803
6/27/2025 19:00,21,511.7739803,0,0,334,0,845.7739803,136,845.7739803
6/27/2025 20:00,19.4,511.7739803,12.8,0,334,0,858.5739803,49,858.5739803
6/27/2025 21:00,16.7,511.7739803,34.4,0,334,0,880.1739803,7,880.1739803
6/27/2025 22:00,13.9,333.7656393,34.08,0,144,0,511.8456393,0,511.8456393
6/27/2025 23:00,12.2,333.7656393,42.24,0,144,0,520.0056393,0,520.0056393
6/28/2025 0:00,11.2,267.0125114,47.04,0,122,0,436.0525114,0,436.0525114
6/28/2025 1:00,10.6,267.0125114,49.92,0,122,0,438.9325114,0,438.9325114
6/28/2025 2:00,10.3,267.0125114,51.36,0,122,0,440.3725114,0,440.3725114
6/28/2025 3:00,10.7,267.0125114,49.44,0,122,0,438.4525114,0,438.4525114
6/28/2025 4:00,11.4,267.0125114,46.08,0,122,0,435.0925114,55,435.0925114
6/28/2025 5:00,14.6,267.0125114,30.72,0,122,0,419.7325114,148,419.7325114
6/28/2025 6:00,18.2,400.5187672,22.4,0,210,0,632.9187672,268,632.9187672
6/28/2025 7:00,20.9,400.5187672,0.8,0,210,0,611.3187672,397,611.3187672
6/28/2025 8:00,22.2,400.5187672,0,0,210,0,610.5187672,523,610.5187672
